analysis_species_id,analysis_species_name,confirmed_native_CONUS,confirmed_native_Canada,confirmed_native_Alaska,confirmed_native_Mexico,confirmed_native_Central_America,confirmed_native_outside_USA_Canada,confirmed_native_outside_North_America,transcontinental_circumboreal_global_extension_flag,transcontinental_semantic_role,transcontinental_independent_trigger_used,all_distribution_flags_valid_binary,macro_region_rule_version,confirmed_native_level3_areas,confirmed_native_outside_USA_Canada_level3_areas,confirmed_native_outside_North_America_level3_areas,other_na_extension_level3_areas,doubtful_native_outside_primary_CONUS_level3_areas,routing_reconciliation_status,routing_reconciliation_fields,transcontinental_diagnostic_reconciliation,range_gate0_v02_class,range_gate0_v02_reason_code,range_gate0_v02_evidence_text,whole_range_core_route,requires_future_usca_little_audit,requires_future_external_range_audit,range_gate0_final_cohort_flag,source_global_range_flags_sha256,source_native_distribution_long_sha256
6544,Alnus oblongifolia,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,DIAGNOSTIC_ONLY_ZERO_INDEPENDENT_ROUTING_AUTHORITY,0,1,TAXON_RANGE_BUILD_CONTRACT_v01,ARI:Arizona;MXE:Mexico Northeast;MXN:Mexico Northwest;NWM:New Mexico,MXE:Mexico Northeast;MXN:Mexico Northwest,,,,MATCH,,MATCH,BORDERLINE_MEXICO,CONFIRMED_NATIVE_MEXICO,"D08B1 routing flags: Canada=FALSE, Alaska=FALSE, Mexico=TRUE, Central_America=FALSE, outside_USA_Canada=TRUE, outside_North_America=FALSE. Transcontinental diagnostic=FALSE; diagnostic-only with zero independent routing authority. Confirmed native Level-3 categorical evidence: ARI:Arizona;MXE:Mexico Northeast;MXN:Mexico Northwest;NWM:New Mexico. Outside USA+Canada units: MXE:Mexico Northeast;MXN:Mexico Northwest. No Level-3 count was interpreted as area/share/severity; no geometry was inferred.",HOLD_TARGETED_EXTERNAL_RANGE_AUDIT,0,1,0,dc64778032ed9bd301bfc7c14818fc3ba71a3b2621bb4e8b33ec558ecdf3d16d,559a2d6f7b0d67ad886468a2c0098e117c824f196f0a85d3bb7d99c466649017
6578,Alnus rhombifolia,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,DIAGNOSTIC_ONLY_ZERO_INDEPENDENT_ROUTING_AUTHORITY,0,1,TAXON_RANGE_BUILD_CONTRACT_v01,CAL:California;IDA:Idaho;MNT:Montana;MXN:Mexico Northwest;ORE:Oregon;WAS:Washington,MXN:Mexico Northwest,,,,MATCH,,MATCH,BORDERLINE_MEXICO,CONFIRMED_NATIVE_MEXICO,"D08B1 routing flags: Canada=FALSE, Alaska=FALSE, Mexico=TRUE, Central_America=FALSE, outside_USA_Canada=TRUE, outside_North_America=FALSE. Transcontinental diagnostic=FALSE; diagnostic-only with zero independent routing authority. Confirmed native Level-3 categorical evidence: CAL:California;IDA:Idaho;MNT:Montana;MXN:Mexico Northwest;ORE:Oregon;WAS:Washington. Outside USA+Canada units: MXN:Mexico Northwest. No Level-3 count was interpreted as area/share/severity; no geometry was inferred.",HOLD_TARGETED_EXTERNAL_RANGE_AUDIT,0,1,0,dc64778032ed9bd301bfc7c14818fc3ba71a3b2621bb4e8b33ec558ecdf3d16d,559a2d6f7b0d67ad886468a2c0098e117c824f196f0a85d3bb7d99c466649017
6584,Alnus rubra,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,DIAGNOSTIC_ONLY_ZERO_INDEPENDENT_ROUTING_AUTHORITY,0,1,TAXON_RANGE_BUILD_CONTRACT_v01,ASK:Alaska;BRC:British Columbia;CAL:California;IDA:Idaho;MNT:Montana;ORE:Oregon;WAS:Washington;YUK:Yukon,,,,,MATCH,,MATCH,RETAIN_USCA_AUDIT,CONFIRMED_NATIVE_CANADA_AND_ALASKA,"D08B1 routing flags: Canada=TRUE, Alaska=TRUE, Mexico=FALSE, Central_America=FALSE, outside_USA_Canada=FALSE, outside_North_America=FALSE. Transcontinental diagnostic=FALSE; diagnostic-only with zero independent routing authority. Confirmed native Level-3 categorical evidence: ASK:Alaska;BRC:British Columbia;CAL:California;IDA:Idaho;MNT:Montana;ORE:Oregon;WAS:Washington;YUK:Yukon. No Level-3 count was interpreted as area/share/severity; no geometry was inferred.",RETAIN_FOR_LITTLE_OR_USCA_TRUNCATION_AUDIT,1,0,0,dc64778032ed9bd301bfc7c14818fc3ba71a3b2621bb4e8b33ec558ecdf3d16d,559a2d6f7b0d67ad886468a2c0098e117c824f196f0a85d3bb7d99c466649017
18443,Avicennia germinans,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,DIAGNOSTIC_ONLY_ZERO_INDEPENDENT_ROUTING_AUTHORITY,0,1,TAXON_RANGE_BUILD_CONTRACT_v01,ALA:Alabama;ANG:Angola;ARU:Aruba;BAH:Bahamas;BEN:Benin;BER:Bermuda;BLZ:Belize;BZE:Brazil Northeast;BZL:Brazil Southeast;BZN:Brazil North;CAB:Cabinda;CAY:Cayman Is.;CLM:Colombia;CMN:Cameroon;CON:Congo;COS:Costa Rica;CUB:Cuba;DOM:Dominican Republic;ECU:Ecuador;ELS:El Salvador;EQG:Equatorial Guinea;FLA:Florida;FRG:French Guiana;GAB:Gabon;GAL:Galápagos;GAM:Gambia;GEO:Georgia;GGI:Gulf of Guinea Is.;GHA:Ghana;GNB:Guinea-Bissau;GUA:Guatemala;GUI:Guinea;GUY:Guyana;HAI:Haiti;HON:Honduras;IVO:Ivory Coast;JAM:Jamaica;LBR:Liberia;LEE:Leeward Is.;LOU:Louisiana;MSI:Mississippi;MTN:Mauritania;MXE:Mexico Northeast;MXG:Mexico Gulf;MXN:Mexico Northwest;MXS:Mexico Southwest;MXT:Mexico Southeast;NGA:Nigeria;NIC:Nicaragua;NLA:Netherlands Antilles;PAN:Panamá;PER:Peru;PUE:Puerto Rico;SEN:Senegal;SIE:Sierra Leone;SUR:Suriname;SWC:Southwest Caribbean;TCI:Turks-Caicos Is.;TEX:Texas;TOG:Togo;TRT:Trinidad-Tobago;VEN:Venezuela;VNA:Venezuelan Antilles;WIN:Windward Is.;ZAI:DR Congo,ANG:Angola;ARU:Aruba;BAH:Bahamas;BEN:Benin;BER:Bermuda;BLZ:Belize;BZE:Brazil Northeast;BZL:Brazil Southeast;BZN:Brazil North;CAB:Cabinda;CAY:Cayman Is.;CLM:Colombia;CMN:Cameroon;CON:Congo;COS:Costa Rica;CUB:Cuba;DOM:Dominican Republic;ECU:Ecuador;ELS:El Salvador;EQG:Equatorial Guinea;FRG:French Guiana;GAB:Gabon;GAL:Galápagos;GAM:Gambia;GGI:Gulf of Guinea Is.;GHA:Ghana;GNB:Guinea-Bissau;GUA:Guatemala;GUI:Guinea;GUY:Guyana;HAI:Haiti;HON:Honduras;IVO:Ivory Coast;JAM:Jamaica;LBR:Liberia;LEE:Leeward Is.;MTN:Mauritania;MXE:Mexico Northeast;MXG:Mexico Gulf;MXN:Mexico Northwest;MXS:Mexico Southwest;MXT:Mexico Southeast;NGA:Nigeria;NIC:Nicaragua;NLA:Netherlands Antilles;PAN:Panamá;PER:Peru;PUE:Puerto Rico;SEN:Senegal;SIE:Sierra Leone;SUR:Suriname;SWC:Southwest Caribbean;TCI:Turks-Caicos Is.;TOG:Togo;TRT:Trinidad-Tobago;VEN:Venezuela;VNA:Venezuelan Antilles;WIN:Windward Is.;ZAI:DR Congo,ANG:Angola;BEN:Benin;BZE:Brazil Northeast;BZL:Brazil Southeast;BZN:Brazil North;CAB:Cabinda;CLM:Colombia;CMN:Cameroon;CON:Congo;ECU:Ecuador;EQG:Equatorial Guinea;FRG:French Guiana;GAB:Gabon;GAL:Galápagos;GAM:Gambia;GGI:Gulf of Guinea Is.;GHA:Ghana;GNB:Guinea-Bissau;GUI:Guinea;GUY:Guyana;IVO:Ivory Coast;LBR:Liberia;MTN:Mauritania;NGA:Nigeria;PER:Peru;SEN:Senegal;SIE:Sierra Leone;SUR:Suriname;TOG:Togo;VEN:Venezuela;ZAI:DR Congo,ARU:Aruba;BAH:Bahamas;BER:Bermuda;CAY:Cayman Is.;CUB:Cuba;DOM:Dominican Republic;HAI:Haiti;JAM:Jamaica;LEE:Leeward Is.;NLA:Netherlands Antilles;PUE:Puerto Rico;SWC:Southwest Caribbean;TCI:Turks-Caicos Is.;TRT:Trinidad-Tobago;VNA:Venezuelan Antilles;WIN:Windward Is.,,MATCH,,MATCH,FAIL_EXTRA_NA,CONFIRMED_NATIVE_OUTSIDE_NORTH_AMERICA,"D08B1 routing flags: Canada=FALSE, Alaska=FALSE, Mexico=TRUE, Central_America=TRUE, outside_USA_Canada=TRUE, outside_North_America=TRUE. Transcontinental diagnostic=TRUE; diagnostic-only with zero independent routing authority. Confirmed native Level-3 categorical evidence: ALA:Alabama;ANG:Angola;ARU:Aruba;BAH:Bahamas;BEN:Benin;BER:Bermuda;BLZ:Belize;BZE:Brazil Northeast;BZL:Brazil Southeast;BZN:Brazil North;CAB:Cabinda;CAY:Cayman Is.;CLM:Colombia;CMN:Cameroon;CON:Congo;COS:Costa Rica;CUB:Cuba;DOM:Dominican Republic;ECU:Ecuador;ELS:El Salvador;EQG:Equatorial Guinea;FLA:Florida;FRG:French Guiana;GAB:Gabon;GAL:Galápagos;GAM:Gambia;GEO:Georgia;GGI:Gulf of Guinea Is.;GHA:Ghana;GNB:Guinea-Bissau;GUA:Guatemala;GUI:Guinea;GUY:Guyana;HAI:Haiti;HON:Honduras;IVO:Ivory Coast;JAM:Jamaica;LBR:Liberia;LEE:Leeward Is.;LOU:Louisiana;MSI:Mississippi;MTN:Mauritania;MXE:Mexico Northeast;MXG:Mexico Gulf;MXN:Mexico Northwest;MXS:Mexico Southwest;MXT:Mexico Southeast;NGA:Nigeria;NIC:Nicaragua;NLA:Netherlands Antilles;PAN:Panamá;PER:Peru;PUE:Puerto Rico;SEN:Senegal;SIE:Sierra Leone;SUR:Suriname;SWC:Southwest Caribbean;TCI:Turks-Caicos Is.;TEX:Texas;TOG:Togo;TRT:Trinidad-Tobago;VEN:Venezuela;VNA:Venezuelan Antilles;WIN:Windward Is.;ZAI:DR Congo. Outside USA+Canada units: ANG:Angola;ARU:Aruba;BAH:Bahamas;BEN:Benin;BER:Bermuda;BLZ:Belize;BZE:Brazil Northeast;BZL:Brazil Southeast;BZN:Brazil North;CAB:Cabinda;CAY:Cayman Is.;CLM:Colombia;CMN:Cameroon;CON:Congo;COS:Costa Rica;CUB:Cuba;DOM:Dominican Republic;ECU:Ecuador;ELS:El Salvador;EQG:Equatorial Guinea;FRG:French Guiana;GAB:Gabon;GAL:Galápagos;GAM:Gambia;GGI:Gulf of Guinea Is.;GHA:Ghana;GNB:Guinea-Bissau;GUA:Guatemala;GUI:Guinea;GUY:Guyana;HAI:Haiti;HON:Honduras;IVO:Ivory Coast;JAM:Jamaica;LBR:Liberia;LEE:Leeward Is.;MTN:Mauritania;MXE:Mexico Northeast;MXG:Mexico Gulf;MXN:Mexico Northwest;MXS:Mexico Southwest;MXT:Mexico Southeast;NGA:Nigeria;NIC:Nicaragua;NLA:Netherlands Antilles;PAN:Panamá;PER:Peru;PUE:Puerto Rico;SEN:Senegal;SIE:Sierra Leone;SUR:Suriname;SWC:Southwest Caribbean;TCI:Turks-Caicos Is.;TOG:Togo;TRT:Trinidad-Tobago;VEN:Venezuela;VNA:Venezuelan Antilles;WIN:Windward Is.;ZAI:DR Congo. Outside North America units: ANG:Angola;BEN:Benin;BZE:Brazil Northeast;BZL:Brazil Southeast;BZN:Brazil North;CAB:Cabinda;CLM:Colombia;CMN:Cameroon;CON:Congo;ECU:Ecuador;EQG:Equatorial Guinea;FRG:French Guiana;GAB:Gabon;GAL:Galápagos;GAM:Gambia;GGI:Gulf of Guinea Is.;GHA:Ghana;GNB:Guinea-Bissau;GUI:Guinea;GUY:Guyana;IVO:Ivory Coast;LBR:Liberia;MTN:Mauritania;NGA:Nigeria;PER:Peru;SEN:Senegal;SIE:Sierra Leone;SUR:Suriname;TOG:Togo;VEN:Venezuela;ZAI:DR Congo. Other North-America-side units: ARU:Aruba;BAH:Bahamas;BER:Bermuda;CAY:Cayman Is.;CUB:Cuba;DOM:Dominican Republic;HAI:Haiti;JAM:Jamaica;LEE:Leeward Is.;NLA:Netherlands Antilles;PUE:Puerto Rico;SWC:Southwest Caribbean;TCI:Turks-Caicos Is.;TRT:Trinidad-Tobago;VNA:Venezuelan Antilles;WIN:Windward Is.. No Level-3 count was interpreted as area/share/severity; no geometry was inferred.",EXCLUDE_WHOLE_RANGE_CORE,0,0,0,dc64778032ed9bd301bfc7c14818fc3ba71a3b2621bb4e8b33ec558ecdf3d16d,559a2d6f7b0d67ad886468a2c0098e117c824f196f0a85d3bb7d99c466649017
21135,Betula alleghaniensis,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DIAGNOSTIC_ONLY_ZERO_INDEPENDENT_ROUTING_AUTHORITY,0,1,TAXON_RANGE_BUILD_CONTRACT_v01,ALA:Alabama;CNT:Connecticut;GEO:Georgia;ILL:Illinois;INI:Indiana;IOW:Iowa;KTY:Kentucky;MAI:Maine;MAS:Massachusetts;MIC:Michigan;MIN:Minnesota;MRY:Maryland;NBR:New Brunswick;NCA:North Carolina;NFL:Newfoundland;NSC:Nova Scotia;NWH:New Hampshire;NWJ:New Jersey;NWY:New York;OHI:Ohio;ONT:Ontario;PEI:Prince Edward I.;PEN:Pennsylvania;QUE:Québec;RHO:Rhode I.;SCA:South Carolina;TEN:Tennessee;VER:Vermont;VRG:Virginia;WIS:Wisconsin;WVA:West Virginia,,,,,MATCH,,MATCH,RETAIN_USCA_AUDIT,CONFIRMED_NATIVE_CANADA,"D08B1 routing flags: Canada=TRUE, Alaska=FALSE, Mexico=FALSE, Central_America=FALSE, outside_USA_Canada=FALSE, outside_North_America=FALSE. Transcontinental diagnostic=FALSE; diagnostic-only with zero independent routing authority. Confirmed native Level-3 categorical evidence: ALA:Alabama;CNT:Connecticut;GEO:Georgia;ILL:Illinois;INI:Indiana;IOW:Iowa;KTY:Kentucky;MAI:Maine;MAS:Massachusetts;MIC:Michigan;MIN:Minnesota;MRY:Maryland;NBR:New Brunswick;NCA:North Carolina;NFL:Newfoundland;NSC:Nova Scotia;NWH:New Hampshire;NWJ:New Jersey;NWY:New York;OHI:Ohio;ONT:Ontario;PEI:Prince Edward I.;PEN:Pennsylvania;QUE:Québec;RHO:Rhode I.;SCA:South Carolina;TEN:Tennessee;VER:Vermont;VRG:Virginia;WIS:Wisconsin;WVA:West Virginia. No Level-3 count was interpreted as area/share/severity; no geometry was inferred.",RETAIN_FOR_LITTLE_OR_USCA_TRUNCATION_AUDIT,1,0,0,dc64778032ed9bd301bfc7c14818fc3ba71a3b2621bb4e8b33ec558ecdf3d16d,559a2d6f7b0d67ad886468a2c0098e117c824f196f0a85d3bb7d99c466649017
21443,Betula lenta,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DIAGNOSTIC_ONLY_ZERO_INDEPENDENT_ROUTING_AUTHORITY,0,1,TAXON_RANGE_BUILD_CONTRACT_v01_SEMANTICS_UNCHANGED,ALA:Alabama;CNT:Connecticut;GEO:Georgia;KTY:Kentucky;MAI:Maine;MAS:Massachusetts;MRY:Maryland;MSI:Mississippi;NCA:North Carolina;NWH:New Hampshire;NWJ:New Jersey;NWY:New York;OHI:Ohio;ONT:Ontario;PEN:Pennsylvania;RHO:Rhode I.;SCA:South Carolina;TEN:Tennessee;VER:Vermont;VRG:Virginia;WVA:West Virginia,,,,,MATCH,,MATCH,RETAIN_USCA_AUDIT,CONFIRMED_NATIVE_CANADA,"D08B1 routing flags: Canada=TRUE, Alaska=FALSE, Mexico=FALSE, Central_America=FALSE, outside_USA_Canada=FALSE, outside_North_America=FALSE. Transcontinental diagnostic=FALSE; diagnostic-only with zero independent routing authority. Confirmed native Level-3 categorical evidence: ALA:Alabama;CNT:Connecticut;GEO:Georgia;KTY:Kentucky;MAI:Maine;MAS:Massachusetts;MRY:Maryland;MSI:Mississippi;NCA:North Carolina;NWH:New Hampshire;NWJ:New Jersey;NWY:New York;OHI:Ohio;ONT:Ontario;PEN:Pennsylvania;RHO:Rhode I.;SCA:South Carolina;TEN:Tennessee;VER:Vermont;VRG:Virginia;WVA:West Virginia. No Level-3 count was interpreted as area/share/severity; no geometry was inferred.",RETAIN_FOR_LITTLE_OR_USCA_TRUNCATION_AUDIT,1,0,0,dc64778032ed9bd301bfc7c14818fc3ba71a3b2621bb4e8b33ec558ecdf3d16d,559a2d6f7b0d67ad886468a2c0098e117c824f196f0a85d3bb7d99c466649017
21527,Betula nigra,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DIAGNOSTIC_ONLY_ZERO_INDEPENDENT_ROUTING_AUTHORITY,0,1,TAXON_RANGE_BUILD_CONTRACT_v01,ALA:Alabama;ARK:Arkansas;CNT:Connecticut;DEL:Delaware;FLA:Florida;GEO:Georgia;ILL:Illinois;INI:Indiana;IOW:Iowa;KAN:Kansas;KTY:Kentucky;LOU:Louisiana;MAS:Massachusetts;MIN:Minnesota;MRY:Maryland;MSI:Mississippi;MSO:Missouri;NCA:North Carolina;NWJ:New Jersey;NWY:New York;OHI:Ohio;OKL:Oklahoma;PEN:Pennsylvania;SCA:South Carolina;TEN:Tennessee;TEX:Texas;VRG:Virginia;WDC:District of Columbia;WIS:Wisconsin;WVA:West Virginia,,,,,MATCH,,MATCH,PASS_COARSE,NO_CONFIRMED_EXTERNAL_NATIVE_EXTENSION_IN_FROZEN_D08B1,"D08B1 routing flags: Canada=FALSE, Alaska=FALSE, Mexico=FALSE, Central_America=FALSE, outside_USA_Canada=FALSE, outside_North_America=FALSE. Transcontinental diagnostic=FALSE; diagnostic-only with zero independent routing authority. Confirmed native Level-3 categorical evidence: ALA:Alabama;ARK:Arkansas;CNT:Connecticut;DEL:Delaware;FLA:Florida;GEO:Georgia;ILL:Illinois;INI:Indiana;IOW:Iowa;KAN:Kansas;KTY:Kentucky;LOU:Louisiana;MAS:Massachusetts;MIN:Minnesota;MRY:Maryland;MSI:Mississippi;MSO:Missouri;NCA:North Carolina;NWJ:New Jersey;NWY:New York;OHI:Ohio;OKL:Oklahoma;PEN:Pennsylvania;SCA:South Carolina;TEN:Tennessee;TEX:Texas;VRG:Virginia;WDC:District of Columbia;WIS:Wisconsin;WVA:West Virginia. No Level-3 count was interpreted as area/share/severity; no geometry was inferred.",COARSE_CORE_PASS,0,0,0,dc64778032ed9bd301bfc7c14818fc3ba71a3b2621bb4e8b33ec558ecdf3d16d,559a2d6f7b0d67ad886468a2c0098e117c824f196f0a85d3bb7d99c466649017
21535,Betula occidentalis,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,DIAGNOSTIC_ONLY_ZERO_INDEPENDENT_ROUTING_AUTHORITY,0,1,TAXON_RANGE_BUILD_CONTRACT_v01,ABT:Alberta;ARI:Arizona;ASK:Alaska;BRC:British Columbia;CAL:California;COL:Colorado;IDA:Idaho;MAN:Manitoba;MNT:Montana;NDA:North Dakota;NEB:Nebraska;NEV:Nevada;NWM:New Mexico;NWT:Northwest Territories;ONT:Ontario;ORE:Oregon;SAS:Saskatchewan;SDA:South Dakota;UTA:Utah;WAS:Washington;WYO:Wyoming;YUK:Yukon,,,,,MATCH,,MATCH,RETAIN_USCA_AUDIT,CONFIRMED_NATIVE_CANADA_AND_ALASKA,"D08B1 routing flags: Canada=TRUE, Alaska=TRUE, Mexico=FALSE, Central_America=FALSE, outside_USA_Canada=FALSE, outside_North_America=FALSE. Transcontinental diagnostic=FALSE; diagnostic-only with zero independent routing authority. Confirmed native Level-3 categorical evidence: ABT:Alberta;ARI:Arizona;ASK:Alaska;BRC:British Columbia;CAL:California;COL:Colorado;IDA:Idaho;MAN:Manitoba;MNT:Montana;NDA:North Dakota;NEB:Nebraska;NEV:Nevada;NWM:New Mexico;NWT:Northwest Territories;ONT:Ontario;ORE:Oregon;SAS:Saskatchewan;SDA:South Dakota;UTA:Utah;WAS:Washington;WYO:Wyoming;YUK:Yukon. No Level-3 count was interpreted as area/share/severity; no geometry was inferred.",RETAIN_FOR_LITTLE_OR_USCA_TRUNCATION_AUDIT,1,0,0,dc64778032ed9bd301bfc7c14818fc3ba71a3b2621bb4e8b33ec558ecdf3d16d,559a2d6f7b0d67ad886468a2c0098e117c824f196f0a85d3bb7d99c466649017
21557,Betula papyrifera,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,DIAGNOSTIC_ONLY_ZERO_INDEPENDENT_ROUTING_AUTHORITY,0,1,TAXON_RANGE_BUILD_CONTRACT_v01,ABT:Alberta;ASK:Alaska;BRC:British Columbia;CNT:Connecticut;COL:Colorado;IDA:Idaho;ILL:Illinois;INI:Indiana;IOW:Iowa;LAB:Labrador;MAI:Maine;MAN:Manitoba;MAS:Massachusetts;MIC:Michigan;MIN:Minnesota;MNT:Montana;NBR:New Brunswick;NDA:North Dakota;NEB:Nebraska;NFL:Newfoundland;NSC:Nova Scotia;NWH:New Hampshire;NWJ:New Jersey;NWT:Northwest Territories;NWY:New York;OHI:Ohio;ONT:Ontario;ORE:Oregon;PEI:Prince Edward I.;PEN:Pennsylvania;QUE:Québec;RHO:Rhode I.;SAS:Saskatchewan;SDA:South Dakota;VER:Vermont;VRG:Virginia;WAS:Washington;WIS:Wisconsin;WVA:West Virginia;WYO:Wyoming;YUK:Yukon,,,,,MATCH,,MATCH,RETAIN_USCA_AUDIT,CONFIRMED_NATIVE_CANADA_AND_ALASKA,"D08B1 routing flags: Canada=TRUE, Alaska=TRUE, Mexico=FALSE, Central_America=FALSE, outside_USA_Canada=FALSE, outside_North_America=FALSE. Transcontinental diagnostic=FALSE; diagnostic-only with zero independent routing authority. Confirmed native Level-3 categorical evidence: ABT:Alberta;ASK:Alaska;BRC:British Columbia;CNT:Connecticut;COL:Colorado;IDA:Idaho;ILL:Illinois;INI:Indiana;IOW:Iowa;LAB:Labrador;MAI:Maine;MAN:Manitoba;MAS:Massachusetts;MIC:Michigan;MIN:Minnesota;MNT:Montana;NBR:New Brunswick;NDA:North Dakota;NEB:Nebraska;NFL:Newfoundland;NSC:Nova Scotia;NWH:New Hampshire;NWJ:New Jersey;NWT:Northwest Territories;NWY:New York;OHI:Ohio;ONT:Ontario;ORE:Oregon;PEI:Prince Edward I.;PEN:Pennsylvania;QUE:Québec;RHO:Rhode I.;SAS:Saskatchewan;SDA:South Dakota;VER:Vermont;VRG:Virginia;WAS:Washington;WIS:Wisconsin;WVA:West Virginia;WYO:Wyoming;YUK:Yukon. No Level-3 count was interpreted as area/share/severity; no geometry was inferred.",RETAIN_FOR_LITTLE_OR_USCA_TRUNCATION_AUDIT,1,0,0,dc64778032ed9bd301bfc7c14818fc3ba71a3b2621bb4e8b33ec558ecdf3d16d,559a2d6f7b0d67ad886468a2c0098e117c824f196f0a85d3bb7d99c466649017
21620,Betula populifolia,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DIAGNOSTIC_ONLY_ZERO_INDEPENDENT_ROUTING_AUTHORITY,0,1,TAXON_RANGE_BUILD_CONTRACT_v01,CNT:Connecticut;DEL:Delaware;ILL:Illinois;INI:Indiana;MAI:Maine;MAS:Massachusetts;MRY:Maryland;NBR:New Brunswick;NCA:North Carolina;NSC:Nova Scotia;NWH:New Hampshire;NWJ:New Jersey;NWY:New York;OHI:Ohio;ONT:Ontario;PEI:Prince Edward I.;PEN:Pennsylvania;QUE:Québec;RHO:Rhode I.;SCA:South Carolina;VER:Vermont;VRG:Virginia,,,,,MATCH,,MATCH,RETAIN_USCA_AUDIT,CONFIRMED_NATIVE_CANADA,"D08B1 routing flags: Canada=TRUE, Alaska=FALSE, Mexico=FALSE, Central_America=FALSE, outside_USA_Canada=FALSE, outside_North_America=FALSE. Transcontinental diagnostic=FALSE; diagnostic-only with zero independent routing authority. Confirmed native Level-3 categorical evidence: CNT:Connecticut;DEL:Delaware;ILL:Illinois;INI:Indiana;MAI:Maine;MAS:Massachusetts;MRY:Maryland;NBR:New Brunswick;NCA:North Carolina;NSC:Nova Scotia;NWH:New Hampshire;NWJ:New Jersey;NWY:New York;OHI:Ohio;ONT:Ontario;PEI:Prince Edward I.;PEN:Pennsylvania;QUE:Québec;RHO:Rhode I.;SCA:South Carolina;VER:Vermont;VRG:Virginia. No Level-3 count was interpreted as area/share/severity; no geometry was inferred.",RETAIN_FOR_LITTLE_OR_USCA_TRUNCATION_AUDIT,1,0,0,dc64778032ed9bd301bfc7c14818fc3ba71a3b2621bb4e8b33ec558ecdf3d16d,559a2d6f7b0d67ad886468a2c0098e117c824f196f0a85d3bb7d99c466649017
